Date,Date Label,County,Cases,Deaths
3/28/2020,3/29/2020,Crawford,1,0
3/28/2020,3/29/2020,Detroit City,1377,30
3/28/2020,3/29/2020,Eaton,8,0
3/28/2020,3/29/2020,Emmet,4,0
3/28/2020,3/29/2020,Genesee,110,5
3/28/2020,3/29/2020,Gladwin,2,0
3/28/2020,3/29/2020,Gogebic,1,1
3/28/2020,3/29/2020,Grand Traverse,5,0
3/28/2020,3/29/2020,Gratiot,2,0
3/28/2020,3/29/2020,Hillsdale,7,0
3/28/2020,3/29/2020,Huron,1,0
3/28/2020,3/29/2020,Ingham,32,0
3/28/2020,3/29/2020,Ionia,2,0
3/28/2020,3/29/2020,Iosco,1,0
3/28/2020,3/29/2020,Isabella,4,0
3/28/2020,3/29/2020,Jackson,20,0
3/28/2020,3/29/2020,Kalamazoo,15,0
3/28/2020,3/29/2020,Kalkaska,4,0
3/28/2020,3/29/2020,Kent,53,1
3/28/2020,3/29/2020,Lapeer,4,0
3/28/2020,3/29/2020,Leelanau,1,0
3/28/2020,3/29/2020,Lenawee,11,0
3/28/2020,3/29/2020,Livingston,41,2
3/28/2020,3/29/2020,Macomb,534,17
3/28/2020,3/29/2020,Manistee,1,0
3/28/2020,3/29/2020,Marquette,1,0
3/28/2020,3/29/2020,Mecosta,1,1
3/28/2020,3/29/2020,Midland,8,0
3/28/2020,3/29/2020,Missaukee,1,1
3/28/2020,3/29/2020,Monroe,34,0
3/28/2020,3/29/2020,Montcalm,3,0
3/28/2020,3/29/2020,Muskegon,7,2
3/28/2020,3/29/2020,Newaygo,1,0
3/28/2020,3/29/2020,Oakland,1018,31
3/28/2020,3/29/2020,Oceana,1,0
3/28/2020,3/29/2020,Ogemaw,1,0
3/28/2020,3/29/2020,Osceola,1,0
3/28/2020,3/29/2020,Other,47,0
3/28/2020,3/29/2020,Otsego,14,0
3/28/2020,3/29/2020,Ottawa,23,0
3/28/2020,3/29/2020,Out of State,15,0
3/28/2020,3/29/2020,Roscommon,1,0
3/28/2020,3/29/2020,Saginaw,19,0
3/28/2020,3/29/2020,Sanilac,2,0
3/28/2020,3/29/2020,Shiawassee,2,0
3/28/2020,3/29/2020,St. Clair,16,0
3/28/2020,3/29/2020,Tuscola,4,1
3/28/2020,3/29/2020,Van Buren,4,0
3/28/2020,3/29/2020,Washtenaw,185,3
3/28/2020,3/29/2020,Wayne,939,16
3/28/2020,3/29/2020,Wexford,1,0
3/29/2020,3/30/2020,Allegan,2,0
3/29/2020,3/30/2020,Barry,1,0
3/29/2020,3/30/2020,Bay,5,0
3/29/2020,3/30/2020,Berrien,29,0
3/29/2020,3/30/2020,Calhoun,15,0
3/29/2020,3/30/2020,Cass,4,0
3/29/2020,3/30/2020,Charlevoix,4,0
3/29/2020,3/30/2020,Cheboygan,1,0
3/29/2020,3/30/2020,Clare,1,0
3/29/2020,3/30/2020,Clinton,14,0
3/29/2020,3/30/2020,Crawford,1,0
3/29/2020,3/30/2020,Detroit City,1542,35
3/29/2020,3/30/2020,Eaton,8,0
3/29/2020,3/30/2020,Emmet,4,0
3/29/2020,3/30/2020,Genesee,127,5
3/29/2020,3/30/2020,Gladwin,3,0
3/29/2020,3/30/2020,Gogebic,1,1
3/29/2020,3/30/2020,Grand Traverse,6,0
3/29/2020,3/30/2020,Gratiot,3,0
3/29/2020,3/30/2020,Hillsdale,10,1
3/29/2020,3/30/2020,Huron,3,0
3/29/2020,3/30/2020,Ingham,43,0
3/29/2020,3/30/2020,Ionia,2,0
3/29/2020,3/30/2020,Iosco,1,0
3/29/2020,3/30/2020,Isabella,4,1
3/29/2020,3/30/2020,Jackson,24,1
3/29/2020,3/30/2020,Kalamazoo,19,0
3/29/2020,3/30/2020,Kalkaska,4,0
3/29/2020,3/30/2020,Kent,72,1
3/29/2020,3/30/2020,Lapeer,4,0
3/29/2020,3/30/2020,Leelanau,1,0
3/29/2020,3/30/2020,Lenawee,15,0
3/29/2020,3/30/2020,Livingston,59,2
